dataset,experiment_idx,method,cindex,IPEC (0.50),IPEC (0.60),IPEC (0.70),IPEC (0.75),IPEC (0.80),IPEC (0.90),IPEC (1.00)
pbc,0,adaptive kernel,0.8397947548460661,0.09513491338026021,0.10938834036020648,0.11652170606306518,0.12437406806143379,0.13895708611246194,0.18218098763060117,0.2914534682740569
pbc,1,adaptive kernel,0.8181818181818182,0.10791607964952801,0.12777898091474,0.15192361991871345,0.16798796094526766,0.205235322677161,0.2581934353177691,0.3340542229676362
pbc,2,adaptive kernel,0.8636871508379889,0.07225347260908173,0.08999066214317607,0.10698243159697529,0.12429917543741631,0.16158658528057743,0.2164661595988566,0.2867757902116221
pbc,3,adaptive kernel,0.826740947075209,0.09899553812974007,0.12070341363877435,0.14219481462516223,0.15675764792136418,0.19139409871665394,0.24984011516058047,0.28998270266842746
pbc,4,adaptive kernel,0.8322766570605188,0.09103281929433978,0.09937000600621565,0.10749993011833028,0.11550593809159737,0.12347645435600127,0.15845109648660752,0.23167679244428524
pbc,5,adaptive kernel,0.818342151675485,0.08446500750592467,0.09890186557655359,0.09762507547344004,0.10705546253936689,0.12244626083806034,0.15354936018493195,0.2451804663124746
pbc,6,adaptive kernel,0.7834973504920515,0.06030011947026626,0.07791830270385582,0.09121041004191176,0.10253870929862366,0.1260375755580168,0.17996925913310513,0.33430996941884605
pbc,7,adaptive kernel,0.8203517587939698,0.05731698991101271,0.07066879848050561,0.08145130038848274,0.09015161951245512,0.11176129703430686,0.17225877656594715,0.27184032874607283
pbc,8,adaptive kernel,0.8486012068019748,0.08097683120991238,0.09764261922409737,0.11008956928572178,0.12094649970412533,0.13360124376526314,0.16358032003214554,0.23528934718064248
pbc,9,adaptive kernel,0.8086062941554271,0.07446707795195691,0.08436563862122716,0.09663018688558353,0.10369177251858099,0.12095875810739022,0.19652393087576983,0.26084118266415196
pbc,10,adaptive kernel,0.8054054054054054,0.07492954205797982,0.10204070046936273,0.11942373384232242,0.13587363375095,0.16632466627536077,0.22326816444717154,0.3708823752379456
pbc,11,adaptive kernel,0.8358628442945475,0.09853133319252963,0.1133033989808716,0.12498961427309947,0.13444844017063146,0.1574047387900116,0.1780065670991016,0.24646462916852735
pbc,12,adaptive kernel,0.8270042194092827,0.09018738092119649,0.10601889024639644,0.11782599801467598,0.1274409871717814,0.14402325708475794,0.2032577156388117,0.272015595380977
pbc,13,adaptive kernel,0.8105263157894737,0.05929631546198011,0.07276961756221365,0.08847151549229773,0.09768428823777381,0.11523278207276035,0.15793134441733564,0.3161783495364688
pbc,14,adaptive kernel,0.8129149064574532,0.07854989511923699,0.08778578601468104,0.09830182629556888,0.10309893735725925,0.11891460942623931,0.1635320079431893,0.2391192853441891
